"","date","time","round","team_1","team_2","team_score_1","team_score_2","venue","weather","referees","crowd","surface"
"1","2015-08-27","7:45PM","25","South Sydney","Brisbane","12","47","Allianz Stadium","Fine","Matt Cecchin, Gavin Morris","12036","Good"
"2","2015-08-28","7:45PM","25","Manly","Sydney Roosters","10","46","Brookvale Oval","Fine","Jared Maxwell, Grant Atkins","12911","Good"
"3","2015-08-29","3:00PM","25","Parramatta","Cronulla","28","35","Pirtek Stadium","Fine","Gerard Sutton, Gavin Badger","11778","Good"
"4","2015-08-29","5:30PM","25","Newcastle","Canterbury-Bankstown","18","20","Hunter Stadium","Fine","Adam Devcich, Chris James","23604","Good"
"5","2015-08-29","7:30PM","25","Melbourne","North Queensland","14","6","AAMI Park","Rain","Ben Cummins, Alan Shortall","15214","Slippery"
"6","2015-08-30","2:00PM","25","Wests Tigers","Warriors","50","16","Campbelltown Stadium","Fine","Gavin Reynolds, Chris Sutton","6711","Good"
"7","2015-08-30","4:00PM","25","Gold Coast","St George Illawarra","28","26","Cbus Super Stadium","Fine","Ashley Klein, Gavin Morris","12335","Good"
"8","2015-08-31","7:00PM","25","Canberra","Penrith","34","18","GIO Stadium","Cold","Henry Perenara, Matt Noyen","6717","Good"
"9","2015-08-20","7:45PM","24","St George Illawarra","Penrith","19","12","WIN Stadium","Cold","Ashley Klein, Alan Shortall","9145","Good"
"10","2015-08-21","7:45PM","24","South Sydney","Canterbury-Bankstown","18","32","ANZ Stadium","Fine","Jared Maxwell, Gavin Morris","26503","Good"
"11","2015-08-22","3:00PM","24","Cronulla","Wests Tigers","40","18","Remondis Stadium","Fine","Grant Atkins, Matt Noyen","15738","Good"
"12","2015-08-22","7:30PM","24","Warriors","North Queensland","16","50","Mt Smart Stadium","Cold","Matt Cecchin, Adam Devcich","-","Picture Perfect"
"13","2015-08-22","7:45PM","24","Sydney Roosters","Brisbane","12","10","Allianz Stadium","Fine","Gerard Sutton, Gavin Badger","19137","Good"
"14","2015-08-23","2:00PM","24","Gold Coast","Canberra","28","12","Cbus Super Stadium","Fine","Gavin Reynolds, Chris Sutton","8762","Good"
"15","2015-08-23","4:00PM","24","Manly","Parramatta","16","20","Brookvale Oval","Showers","Ben Cummins, Alan Shortall","11018","Slippery"
"16","2015-08-24","7:00PM","24","Melbourne","Newcastle","6","20","AAMI Park","Cold","Henry Perenara, Chris James","8743","Lush"
"17","2015-08-13","7:45PM","23","North Queensland","South Sydney","18","31","1300SMILES Stadium","Fine","Ben Cummins, Gavin Badger","16685","Good"
"18","2015-08-14","7:45PM","23","Brisbane","St George Illawarra","32","6","Suncorp Stadium","Fine","Jared Maxwell, Gavin Morris","33480","Good"
"19","2015-08-15","3:00PM","23","Wests Tigers","Newcastle","18","24","Campbelltown Stadium","Overcast","Gavin Reynolds, Chris Sutton","10963","Good"
"20","2015-08-15","5:30PM","23","Penrith","Warriors","24","10","Pepper Stadium","Showers","Ashley Klein, Chris James","6774","Good"
"21","2015-08-15","7:30PM","23","Sydney Roosters","Parramatta","28","18","Allianz Stadium","Fine","Gavin Atkins, Henry Perenara","11255","Good"
"22","2015-08-16","2:00PM","23","Canberra","Manly","24","26","GIO Stadium","Fine","Matt Cecchin, David Munro","13113","Good"
"23","2015-08-16","4:00PM","23","Canterbury-Bankstown","Gold Coast","36","14","Central Coast Stadium","Fine","Adam Devcich, Alan Shortall","11021","Good"
"24","2015-08-17","7:00PM","23","Cronulla","Melbourne","2","30","Remondis Stadium","Cold","Gerard Sutton, Gavin Badger","10269","Good"
"25","2015-08-07","7:45PM","22","Manly","South Sydney","28","8","Brookvale Oval","Cold","Gerard Sutton, Gavin Reynolds","15083","Good"
"26","2015-08-07","7:45PM","22","Brisbane","Canterbury-Bankstown","16","18","Suncorp Stadium","Fine","Ben Cummins, Gavin Morris","34082","Good"
"27","2015-08-08","5:00PM","22","Warriors","St George Illawarra","0","36","Westpac Stadium","Showers","Gavin Badger, Alan Shortall","18317","Slippery"
"28","2015-08-08","5:30PM","22","Cronulla","North Queensland","30","18","Remondis Stadium","Cold","Matt Cecchin, David Munro","13878","Good"
"29","2015-08-08","7:00PM","22","Parramatta","Penrith","10","4","TIO Stadium","Hot","Adam Devcich, Matt Noyen","8340","Good"
"30","2015-08-09","2:00PM","22","Melbourne","Gold Coast","36","14","AAMI Park","Cold","Grant Atkins, Chris Sutton","10521","Good"
"31","2015-08-09","4:00PM","22","Newcastle","Sydney Roosters","22","38","Hunter Stadium","Fine","Ashley Klein, Chris James","17718","Good"
"32","2015-08-10","7:00PM","22","Canberra","Wests Tigers","18","20","GIO Stadium","Cold","Jared Maxwell, Henry Perenara","8704","Good"
"33","2015-07-31","7:45PM","21","Wests Tigers","Melbourne","34","16","Leichhardt Oval","Fine","Adam Devcich, Chris Sutton","7419","Slow"
"34","2015-07-31","7:45PM","21","Sydney Roosters","Canterbury-Bankstown","38","28","Allianz Stadium","Fine","Matt Cecchin, Ashley Klein","13589","Good"
"35","2015-08-01","5:00PM","21","Warriors","Cronulla","14","18","Mt Smart Stadium","Fine","Ben Cummins, Gavin Morris","12481","Good"
"36","2015-08-01","5:30PM","21","North Queensland","Canberra","32","24","1300SMILES Stadium","Fine","Gerard Sutton, David Munro","16207","Good"
"37","2015-08-01","7:30PM","21","Manly","Brisbane","44","14","Central Coast Stadium","Fine","Gavin Badger, Chris James","16280","Good"
"38","2015-08-02","2:00PM","21","St George Illawarra","Newcastle","46","24","Jubilee Oval","Fine","Grant Atkins, Gavin Reynolds","10236","Good"
"39","2015-08-02","4:00PM","21","South Sydney","Penrith","20","16","ANZ Stadium","Fine","Jared Maxwell, Matt Cecchin","13391","Good"
"40","2015-08-03","7:00PM","21","Gold Coast","Parramatta","24","14","Cbus Super Stadium","Fine","Henry Perenara, Alan Shortall","7496","Good"
"41","2015-07-24","7:35PM","20","Wests Tigers","Sydney Roosters","8","33","ANZ Stadium","Cold","Jared Maxwell, Gavin Morris","10186","Fair"
"42","2015-07-24","7:35PM","20","Brisbane","Gold Coast","34","0","Suncorp Stadium","Fine","Adam Devcich, Chris Sutton","27664","Good"
"43","2015-07-25","7:30PM","20","Melbourne","St George Illawarra","22","4","McLean Park","Cold","Matt Cecchin, Chris Butler","14532","Good"
"44","2015-07-25","7:30PM","20","South Sydney","Newcastle","52","6","ANZ Stadium","Fine","Henry Perenara, Alan Shortall","14603","Good"
"45","2015-07-26","2:00PM","20","Penrith","Canberra","24","34","Pepper Stadium","Windy","Ben Cummins, Chris James","8048","Good"
"46","2015-07-26","4:00PM","20","Canterbury-Bankstown","Cronulla","16","18","Belmore Sports Ground","Windy","Gerard Sutton, David Munro","19005","Good"
"47","2015-07-27","7:00PM","20","North Queensland","Parramatta","46","4","1300SMILES Stadium","Fine","Gavin Badger, Ashley Klein","13767","Good"
"48","2015-07-17","7:35PM","19","Parramatta","Canterbury-Bankstown","4","28","ANZ Stadium","Cold","Ben Cummins, Chris James","17082","Fair"
"49","2015-07-17","7:35PM","19","Melbourne","Penrith","52","10","AAMI Park","Cold","Jared Maxwell, Gavin Morris","11956","Lush"
"50","2015-07-18","3:00PM","19","Canberra","Cronulla","20","21","GIO Stadium","Cold","Ashley Klein, Chris Butler","9853","Good"
"51","2015-07-18","5:30PM","19","Newcastle","Gold Coast","30","2","Hunter Stadium","Showers","Gavin Badger, David Munro","10546","Slippery"
"52","2015-07-18","7:30PM","19","St George Illawarra","South Sydney","8","24","Sydney Cricket Ground","Cold","Adam Devcich, Chris Sutton","18217","Slippery"
"53","2015-07-19","2:00PM","19","Sydney Roosters","Warriors","24","0","Allianz Stadium","Fine","Matt Cecchin, Gavin Atkins","16301","Good"
"54","2015-07-19","4:00PM","19","Brisbane","Wests Tigers","42","16","Suncorp Stadium","Fine","Henry Perenara, Gavin Reynolds","37260","Good"
"55","2015-07-20","7:00PM","19","Manly","North Queensland","12","30","Brookvale Oval","Cold","Gerard Sutton, Alan Shortall","7643","Fair"
"56","2015-07-10","7:45PM","18","Canberra","Newcastle","36","22","GIO Stadium","Freezing","Matt Cecchin, Gavin Atkins","6015","Good"
"57","2015-07-11","5:30PM","18","Penrith","Sydney Roosters","4","24","Pepper Stadium","Cold","Ashley Klein, David Munro","13654","Good"
"58","2015-07-11","7:30PM","18","Canterbury-Bankstown","Brisbane","8","16","ANZ Stadium","Showers","Jared Maxwell, Gavin Morris","16253","Good"
"59","2015-07-12","4:00PM","18","Warriors","Melbourne","28","14","Mt Smart Stadium","Fine","Gerard Sutton, Chris James","17278","Good"
"60","2015-07-12","4:00PM","18","Cronulla","St George Illawarra","28","8","Remondis Stadium","Windy","Gavin Badger, Alan Shortall","12792","Good"
"61","2015-07-13","7:00PM","18","Gold Coast","Manly","6","38","Cbus Super Stadium","Fine","Henry Perenara, Gavin Reynolds","9632","Good"
"62","2015-07-03","7:45PM","17","Penrith","South Sydney","20","6","Pepper Stadium","Fine","Jared Maxwell, Gavin Morris","14068","Good"
"63","2015-07-04","7:30PM","17","St George Illawarra","North Queensland","12","18","WIN Stadium","Cold","Matt Cecchin, Gavin Reynolds","11813","Good"
"64","2015-07-05","4:00PM","17","Manly","Cronulla","28","16","Brookvale Oval","Fine","Ashley Klein, Chris James","14881","Good"
"65","2015-07-06","7:00PM","17","Wests Tigers","Parramatta","16","28","ANZ Stadium","Cold","Gavin Badger, Alan Shortall","15347","Good"
"66","2015-06-26","7:35PM","16","South Sydney","Manly","20","8","ANZ Stadium","Fine","Matt Cecchin, Henry Perenara","14236","Patchy"
"67","2015-06-26","7:35PM","16","Brisbane","Newcastle","44","22","Suncorp Stadium","Fine","Jared Maxwell, Matt Noyen","27246","Good"
"68","2015-06-27","5:00PM","16","Warriors","Canberra","30","8","Mt Smart Stadium","Fine","Gerard Sutton, Chris Butler","13110","Good"
"69","2015-06-27","5:30PM","16","North Queensland","Cronulla","18","24","1300SMILES Stadium","Fine","Grant Atkins, Gavin Reynolds","18826","Good"
"70","2014-06-27","7:30PM","16","Parramatta","St George Illawarra","16","12","Pirtek Stadium","Fine","Ashley Klein, Chris Sutton","15046","Good"
"71","2015-06-28","2:00PM","16","Sydney Roosters","Gold Coast","20","10","Central Coast Stadium","Fine","Gavin Morris, Adam Devcich","12569","Good"
"72","2015-06-28","4:00PM","16","Wests Tigers","Penrith","12","35","Leichhardt Oval","Fine","Gavin Badger, Alan Shortall","14234","Good"
"73","2015-06-29","7:00PM","16","Canterbury-Bankstown","Melbourne","20","4","Belmore Sports Ground","Fine","Ben Cummins, Chris James","16764","Good"
"74","2015-06-19","7:45PM","15","Manly","Wests Tigers","30","20","Brookvale Oval","Showers","Jared Maxwell, Chris James","8093","Heavy"
"75","2015-06-20","3:00PM","15","Canberra","North Queensland","20","21","GIO Stadium","Cold","Ashley Klein, Chris Sutton","10170","Good"
"76","2015-06-20","5:30PM","15","Gold Coast","Warriors","14","36","Cbus Super Stadium","Fine","Matt Cecchin, Gavin Reynolds","14132","Good"
"77","2015-06-20","7:30PM","15","Canterbury-Bankstown","Penrith","24","12","ANZ Stadium","Fine","Grant Atkins, Adam Devcich","12476","Good"
"78","2015-06-21","2:00PM","15","Newcastle","Cronulla","28","30","Hunter Stadium","Overcast","Gavin Badger, Alan Shortall","14081","Good"
"79","2015-06-21","4:00PM","15","Melbourne","Brisbane","12","14","AAMI Park","Fine","Gerard Sutton, Henry Perenara","14278","Good"
"80","2015-06-22","7:00PM","15","St George Illawarra","Sydney Roosters","14","19","Allianz Stadium","Fine","Ben Cummins, Gavin Morris","10185","Good"
"81","2015-06-12","7:45PM","14","Wests Tigers","South Sydney","34","6","ANZ Stadium","Fine","Matt Cecchin, Grant Atkins","15118","Good"
"82","2015-06-13","8:00PM","14","Warriors","Sydney Roosters","21","25","Mt Smart Stadium","Windy","Gavin Badger, Gavin Reynolds","14167","Good"
"83","2015-06-14","4:00PM","14","Gold Coast","Canterbury-Bankstown","28","14","Cbus Super Stadium","Fine","Jared Maxwell, Chris James","10645","Good"
"84","2015-06-15","7:00PM","14","Melbourne","Parramatta","22","26","AAMI Park","Showers","Ashley Klein, Matt Noyen","10128","Good"
"85","2015-06-05","7:35PM","13","Brisbane","Manly","44","10","Suncorp Stadium","Fine","Matt Cecchin, Gavin Morris","28691","Good"
"86","2015-06-05","7:35PM","13","Wests Tigers","Gold Coast","20","27","Leichhardt Oval","Fine","Ashley Klein, Henry Perenara","7103","Good"
"87","2015-06-06","3:00PM","13","Newcastle","Canberra","22","44","Hunter Stadium","Fine","Grant Atkins, Gavin Reynolds","13504","Good"
"88","2015-06-06","3:30PM","13","South Sydney","Warriors","36","4","NIB Stadium","Fine","Jared Maxwell, Chris Butler","20727","Good"
"89","2015-06-06","7:30PM","13","Penrith","Melbourne","0","20","Pepper Stadium","Fine","Adam Devcich, Alan Shortall","11849","Good"
"90","2015-06-07","4:00PM","13","Cronulla","Sydney Roosters","10","4","Remondis Stadium","Fine","Ben Cummins, Matt Noyen","14235","Good"
"91","2015-06-08","4:00PM","13","Canterbury-Bankstown","St George Illawarra","29","16","ANZ Stadium","Fine","Gerard Sutton, Chris James","27291","Good"
"92","2015-06-08","7:00PM","13","Parramatta","North Queensland","30","36","Pirtek Stadium","Fine","Gavin Badger, Chris Sutton","9812","Good"
"93","2015-05-29","7:45PM","12","Penrith","Parramatta","20","26","Pepper Stadium","Fine","Matt Cecchin, Gavin Morris","17821","Good"
"94","2015-05-30","3:00PM","12","Gold Coast","South Sydney","16","22","Cbus Super Stadium","Fine","Grant Atkins, Gavin Reynolds","15583","Good"
"95","2015-05-30","5:30PM","12","Canberra","Brisbane","12","24","GIO Stadium","Cold","Gavin Badger, Chris Sutton","10090","Good"
"96","2015-05-30","7:30PM","12","North Queensland","Manly","18","14","1300SMILES Stadium","Fine","Ashley Klein, Henry Perenara","14196","Good"
"97","2015-05-31","4:00PM","12","Warriors","Newcastle","24","20","Mt Smart Stadium","Overcast","Ben Cummins, David Munro","13203","Good"
"98","2015-05-31","4:00PM","12","St George Illawarra","Cronulla","42","6","Jubilee Oval","Overcast","Adam Devcich, Alan Shortall","18011","Good"
"99","2015-06-01","7:00PM","12","Sydney Roosters","Melbourne","24","2","Allianz Stadium","Fine","Jared Maxwell, Chris James","8265","Good"
"100","2015-05-22","7:45PM","11","South Sydney","Parramatta","14","12","ANZ Stadium","Rain","Jared Maxwell, Chris James","11658","Heavy"
"101","2015-05-23","7:30PM","11","Wests Tigers","North Queensland","0","8","Campbelltown Stadium","Fine","Matt Cecchin, Gavin Morris","8267","Good"
"102","2015-05-24","4:00PM","11","Canberra","Canterbury-Bankstown","34","41","GIO Stadium","Fine","Ashley Klein, Henry Perenara","12221","Good"
"103","2015-05-25","7:00PM","11","Newcastle","Brisbane","18","31","Hunter Stadium","Fine","Gavin Badger, David Munro","12673","Good"
"104","2015-05-15","7:35PM","10","Canterbury-Bankstown","Sydney Roosters","10","24","ANZ Stadium","Overcast","Gerard Sutton, Alan Shortall","17093","Fair"
"105","2015-05-15","7:35PM","10","North Queensland","Brisbane","31","20","1300SMILES Stadium","Fine","Jared Maxwell, Chris James","24531","Good"
"106","2015-05-16","3:00PM","10","Parramatta","Warriors","13","17","Pirtek Stadium","Fine","Grant Atkins, Gavin Reynolds","11152","Good"
"107","2015-05-16","5:30PM","10","Gold Coast","Cronulla","22","23","Cbus Super Stadium","Fine","Adam Devcich, David Munro","10466","Good"
"108","2015-05-16","7:30PM","10","Melbourne","South Sydney","16","12","AAMI Park","Fine","Matt Cecchin, Henry Perenara","18067","Good"
"109","2015-05-17","2:00PM","10","St George Illawarra","Canberra","32","18","WIN Stadium","Fine","Ben Cummins, Chris Butler","13102","Good"
"110","2015-05-17","4:00PM","10","Newcastle","Wests Tigers","22","12","Hunter Stadium","Fine","Gavin Badger, Ashley Klein","15573","Good"
"111","2015-05-18","7:00PM","10","Manly","Penrith","10","11","Brookvale Oval","Fine","Gavin Morris, Alan Shortall","8025","Good"
"112","2015-05-08","7:35PM","9","Brisbane","Penrith","8","5","Suncorp Stadium","Fine","Matt Cecchin, Gavin Reynolds","24566","Good"
"113","2015-05-08","7:35PM","9","Sydney Roosters","Wests Tigers","36","4","Allianz Stadium","Fine","Jared Maxwell, Chris James","14366","Good"
"114","2015-05-09","3:00PM","9","Canberra","Gold Coast","56","16","GIO Stadium","Fine","Grant Atkins, Gavin Badger","8116","Good"
"115","2015-05-09","5:30PM","9","Cronulla","Warriors","16","20","Remondis Stadium","Fine","Gavin Morris, David Munro","13988","Good"
"116","2015-05-09","7:30PM","9","North Queensland","Canterbury-Bankstown","23","16","1300SMILES Stadium","Fine","Ben Cummins, Henry Perenara","15794","Good"
"117","2015-05-10","2:00PM","9","Manly","Newcastle","30","10","Brookvale Oval","Overcast","Adam Devcich, Gavin Reynolds","10065","Good"
"118","2015-05-10","4:00PM","9","Parramatta","Melbourne","10","28","Pirtek Stadium","Fine","Gerard Sutton, Alan Shortall","10505","Good"
"119","2015-05-11","7:00PM","9","South Sydney","St George Illawarra","16","10","ANZ Stadium","Fine","Matt Cecchin, Ashley Klein","14126","Good"
"120","2015-04-24","7:45PM","8","Canterbury-Bankstown","Wests Tigers","14","38","ANZ Stadium","Fine","Jared Maxwell, Gavin Badger","18521","Good"
"121","2015-04-25","2:00PM","8","Warriors","Gold Coast","28","32","Mt Smart Stadium","Fine","Gavin Morris, David Munro","15518","Good"
"122","2015-04-25","2:00PM","8","Newcastle","North Queensland","24","26","Hunter Stadium","Fine","Ashley Klein, Chris Sutton","15518","Good"
"123","2015-04-25","4:00PM","8","Sydney Roosters","St George Illawarra","12","14","Allianz Stadium","Torrential Rain","Gerard Sutton, Gavin Reynolds","35110","Slippery"
"124","2015-04-25","6:00PM","8","Melbourne","Manly","10","12","AAMI Park","Showers","Matt Cecchin, Henry Perenara","13948","Good"
"125","2015-04-25","8:00PM","8","Brisbane","Parramatta","28","16","Suncorp Stadium","Fine","Ben Cummins, Chris James","34398","Good"
"126","2015-04-26","2:00PM","8","Penrith","Cronulla","26","18","Pepper Stadium","Overcast","Grant Atkins, Gavin Badger","12798","Good"
"127","2015-04-26","4:00PM","8","South Sydney","Canberra","22","30","Barlow Park","Fine","Adam Devcich, Alan Shortall","8713","Good"
"128","2015-04-17","7:35PM","7","St George Illawarra","Brisbane","12","10","Jubilee Oval","Fine","Matt Cecchin, Gavin Morris","13029","Good"
"129","2015-04-17","7:35PM","7","Canterbury-Bankstown","Manly","28","16","ANZ Stadium","Overcast","Gavin Badger, Chris Sutton","13568","Fair"
"130","2015-04-18","3:00PM","7","Gold Coast","Penrith","32","6","Cbus Super Stadium","Fine","Jared Maxwell, Chris James","9244","Good"
"131","2015-04-18","5:30PM","7","North Queensland","Warriors","28","24","1300SMILES Stadium","Fine","Gerard Sutton, Grant Atkins","16038","Good"
"132","2015-04-18","7:30PM","7","Melbourne","Sydney Roosters","17","16","AAMI Park","Showers","Ashley Klein, Alan Shortall","12860","Fair"
"133","2015-04-19","2:00PM","7","Wests Tigers","Canberra","22","30","Leichhardt Oval","Fine","Henry Perenara, Gavin Reynolds","13198","Good"
"134","2015-04-19","4:00PM","7","Newcastle","Parramatta","22","28","Hunter Stadium","Windy","Adam Devcich, David Munro","16953","Good"
"135","2015-04-20","7:00PM","7","Cronulla","South Sydney","18","10","Remondis Stadium","Heavy Rain","Ben Cummins, Matt Noyen","3978","Slippery"
"136","2015-04-10","7:35PM","6","Cronulla","Newcastle","22","6","Remondis Stadium","Rain","Ashley Klein, Alan Shortall","10054","Slippery"
"137","2015-04-10","7:35PM","6","Brisbane","Sydney Roosters","22","18","Suncorp Stadium","Fine","Gerard Sutton, Grant Atkins","35630","Good"
"138","2015-04-11","3:00PM","6","Parramatta","Gold Coast","16","38","Pirtek Stadium","Fine","Henry Perenara, Gavin Reynolds","11136","Good"
"139","2015-04-11","7:30PM","6","Warriors","Wests Tigers","32","22","Mt Smart Stadium","Fine","Gavin Badger, Chris Sutton","13781","Good"
"140","2015-04-11","7:30PM","6","Penrith","Manly","22","12","Pepper Stadium","Fine","Jared Maxwell, Chris James","11117","Good"
"141","2015-04-12","2:00PM","6","Canberra","Melbourne","10","14","GIO Stadium","Fine","Matt Cecchin, Gavin Morris","10536","Good"
"142","2015-04-12","4:00PM","6","St George Illawarra","Canterbury-Bankstown","31","6","ANZ Stadium","Fine","Ben Cummins, Matt Noyen","20273","Good"
"143","2015-04-13","7:00PM","6","South Sydney","North Queensland","12","30","ANZ Stadium","Fine","Adam Devcich, Alan Shortall","12866","Good"
"144","2015-04-03","4:00PM","5","Canterbury-Bankstown","South Sydney","17","18","ANZ Stadium","Showers","Gerard Sutton, Gavin Morris","40523","Good"
"145","2015-04-03","7:35PM","5","Gold Coast","Brisbane","16","26","Cbus Super Stadium","Overcast","Ashley Klein, Alan Shortall","15432","Fair"
"146","2015-04-04","5:05PM","5","Manly","Canberra","16","29","Lavington Sports Ground","Showers","Henry Perenara, Gavin Reynolds","6436","Fair"
"147","2015-04-04","7:30PM","5","Newcastle","St George Illawarra","0","13","Hunter Stadium","Rain","Gavin Badger, Chris Sutton","14261","Heavy"
"148","2015-04-05","4:00PM","5","Sydney Roosters","Cronulla","12","20","Allianz Stadium","Fine","Ben Cummins, Adam Gee","12004","Good"
"149","2015-04-06","3:00PM","5","Parramatta","Wests Tigers","6","22","ANZ Stadium","Showers","Jared Maxwell, Gavin Morris","35510","Fair"
"150","2015-04-06","5:00PM","5","Melbourne","Warriors","30","14","AAMI Park","Fine","Adam Devcich, Gavin Reynolds","18179","Good"
"151","2015-04-06","7:00PM","5","Penrith","North Queensland","10","30","Pepper Stadium","Fine","Matt Cecchin, Grant Atkins","8409","Good"
"152","2015-03-27","7:35PM","4","Parramatta","South Sydney","29","16","Pirtek Stadium","Fine","Ben Cummins, Alan Shortall","15562","Good"
"153","2015-03-27","7:35PM","4","Wests Tigers","Canterbury-Bankstown","24","25","ANZ Stadium","Fine","Ashley Klein, Adam Gee","20121","Good"
"154","2015-03-28","3:00PM","4","Newcastle","Penrith","26","14","Hunter Stadium","Fine","Jared Maxwell, Gavin Morris","20114","Good"
"155","2015-03-28","5:30PM","4","Cronulla","Gold Coast","22","24","Remondis Stadium","Fine","Gerard Sutton, Matt Noyen","9556","Good"
"156","2015-03-28","7:30PM","4","St George Illawarra","Manly","12","4","WIN Stadium","Fine","Gavin Badger, Chris Sutton","12087","Good"
"157","2015-03-29","2:00PM","4","Warriors","Brisbane","16","24","Mt Smart Stadium","Fine","Matt Cecchin, Gavin Atkins","14670","Good"
"158","2015-03-29","2:00PM","4","Sydney Roosters","Canberra","34","6","Allianz Stadium","Fine","Adam Devcich, Gavin Reynolds","9582","Good"
"159","2015-03-30","6:00PM","4","North Queensland","Melbourne","18","17","1300SMILES Stadium","Fine","Ben Cummins, Henry Perenara","11609","Good"
"160","2015-03-20","7:35PM","3","Manly","Canterbury-Bankstown","12","16","Brookvale Oval","Showers","Matt Cecchin, Henry Perenara","10498","Sandy"
"161","2015-03-20","7:35PM","3","Brisbane","North Queensland","44","22","Suncorp Stadium","Hot","Gerard Sutton, Grant Atkins","40047","Good"
"162","2015-03-21","5:00PM","3","Warriors","Parramatta","29","16","Mt Smart Stadium","Fine","Ashley Klein, Adam Gee","14112","Good"
"163","2015-03-21","5:30PM","3","Canberra","St George Illawarra","20","22","GIO Stadium","Fine","Jared Maxwell, Gavin Morris","11774","Good"
"164","2015-03-21","7:30PM","3","Melbourne","Cronulla","36","18","AAMI Park","Fine","Gavin Badger, Chris Sutton","13015","Good"
"165","2015-03-22","4:00PM","3","South Sydney","Wests Tigers","20","6","ANZ Stadium","Overcast","Ben Cummins, Alan Shortall","23211","Fair"
"166","2015-03-22","5:30PM","3","Gold Coast","Newcastle","18","20","Cbus Super Stadium","Showers","Adam Devcich, Gavin Reynolds","6962","Good"
"167","2015-03-23","7:00PM","3","Sydney Roosters","Penrith","20","12","Allianz Stadium","Fine","Gerard Sutton, Matt Cecchin","10735","Good"
"168","2015-03-13","7:35PM","2","Canterbury-Bankstown","Parramatta","32","12","ANZ Stadium","Fine","Gerard Sutton, Grant Atkins","28876","Good"
"169","2015-03-13","8:35PM","2","Cronulla","Brisbane","2","10","Remondis Stadium","Overcast","Ben Cummins, Gavin Reynolds","8369","Good"
"170","2015-03-14","4:30PM","2","Penrith","Gold Coast","40","0","Carrington Park","Fine","Gavin Morris, Alan Shortall","6240","Good"
"171","2015-03-14","7:00PM","2","Manly","Melbourne","24","22","Brookvale Oval","Fine","Jared Maxwell, Chris Sutton","10531","Good"
"172","2015-03-14","8:00PM","2","North Queensland","Newcastle","14","16","1300SMILES Stadium","Fine","Gavin Badger, Matt Noyen","13006","Good"
"173","2015-03-15","4:00PM","2","South Sydney","Sydney Roosters","34","26","ANZ Stadium","Overcast","Matt Cecchin, Henry Perenara","27289","Fair"
"174","2015-03-15","6:30PM","2","Canberra","Warriors","6","18","GIO Stadium","Fine","Adam Devcich, Gavin Reynolds","8241","Good"
"175","2015-03-16","7:00PM","2","Wests Tigers","St George Illawarra","22","4","Campbelltown Stadium","Fine","Ashley Klein, Adam Gee","11837","Good"
"176","2015-06-27","2:00PM","1","Queensland","New South Wales","4","4","1300Smiles Stadium","Unknown","Dave Munro","-","Unknown"
"177","2015-03-05","8:05PM","1","Brisbane","South Sydney","6","36","Suncorp Stadium","Fine","Gerard Sutton, Grant Atkins","36057","Good"
"178","2015-03-06","7:45PM","1","Parramatta","Manly","42","12","Pirtek Stadium","Fine","Matt Cecchin, Henry Perenara","18718","Good"
"179","2015-03-07","4:30PM","1","Newcastle","Warriors","24","14","Hunter Stadium","Fine","Ashley Klein, Chris Butler","16146","Good"
"180","2015-03-07","6:00PM","1","Gold Coast","Wests Tigers","18","19","Cbus Super Stadium","Fine","Gavin Badger, Adam Gee","14319","Good"
"181","2015-03-07","8:00PM","1","North Queensland","Sydney Roosters","4","28","1300SMILES Stadium","Fine","Jared Maxwell, Chris Sutton","17123","Good"
"182","2015-03-08","4:00PM","1","Penrith","Canterbury-Bankstown","24","18","Pepper Stadium","Fine","Ben Cummins, Gavin Reynolds","18817","Good"
"183","2015-03-08","6:30PM","1","Cronulla","Canberra","20","24","Remondis Stadium","Fine","Gavin Morris, Alan Shortall","11096","Good"
"184","2015-03-09","7:00PM","1","St George Illawarra","Melbourne","4","12","Jubilee Oval","Fine","Adam Devcich, David Munro","10028","Good"
"185","2015-05-03","2:00PM","0","Australian Jillaroos","New Zealand Kiwi Ferns","22","14","Suncorp Stadium","Fine","An Unknown","-","Good"
